,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
75532,HCM,20230804,20.838,21.0464,20.5949,21.0494,3917100
76051,HCM,20230803,20.9799,21.0494,20.6326,20.6326,3800600
76574,HCM,20230802,20.8727,21.1853,20.8033,20.9799,3465900
77094,HCM,20230801,21.3968,21.4315,20.841,20.841,6331900
77617,HCM,20230731,21.6399,21.6746,21.3273,21.3968,4243000
78139,HCM,20230728,21.1884,21.6399,21.0841,21.4315,6336700
78664,HCM,20230727,21.0464,21.359,20.9075,21.1536,5037900
79191,HCM,20230726,21.0494,21.1536,20.841,21.0147,3368000
79715,HCM,20230725,21.1853,21.4979,21.0117,21.0494,4837000
80241,HCM,20230724,21.3968,21.4315,20.9799,21.1884,3289000
80765,HCM,20230721,20.6296,21.1506,20.6296,21.1536,4538900
81290,HCM,20230720,21.0464,21.1158,20.5602,20.7715,5131400
81814,HCM,20230719,21.4631,21.5326,21.0464,21.0494,4672900
82316,HCM,20230718,21.362,21.6399,21.2926,21.4315,3723400
82811,HCM,20230717,21.1189,21.7441,21.0494,21.501,6678200
83311,HCM,20230714,21.1158,21.22,20.5602,21.0841,4901300
83798,HCM,20230713,20.9075,21.1158,20.8033,21.0494,3597300
84282,HCM,20230712,20.9799,21.2231,20.4937,20.7021,6584400
84765,HCM,20230711,20.9422,21.22,20.838,20.9799,6365800
85248,HCM,20230710,20.9075,21.2548,20.8727,20.8757,6482300
85730,HCM,20230707,20.3547,20.7021,20.1116,20.7021,4716600
86200,HCM,20230706,20.4212,21.0117,20.0739,20.5631,10664500
86679,HCM,20230705,20.7021,20.7715,20.2852,20.5284,5100100
87158,HCM,20230704,19.7295,20.7021,19.5905,20.7021,13301700
87641,HCM,20230703,19.6225,19.8308,19.5183,19.5905,3165800
88124,HCM,20230630,19.4488,19.7266,19.3793,19.5558,4014200
88606,HCM,20230629,20.2505,20.2852,19.4516,19.4516,5766300
89087,HCM,20230628,20.1434,20.3865,19.935,20.181,4761500
89567,HCM,20230627,19.9379,20.0074,19.7295,20.0074,4239100
90053,HCM,20230626,20.0739,20.0739,19.3099,19.7989,6253200
90539,HCM,20230623,20.1463,20.2505,19.6947,19.9379,7126700
91026,HCM,20230622,19.9003,20.2129,19.6919,20.0768,6072800
91516,HCM,20230621,19.032,19.8308,18.9973,19.7989,11823300
92002,HCM,20230620,18.8584,18.9626,18.65,18.9653,4004700
92485,HCM,20230619,18.6874,18.9653,18.479,18.8264,5267900
92939,HCM,20230616,18.4096,19.2779,18.4096,18.6527,16677000
93403,HCM,20230615,18.1638,18.4764,18.0596,18.3053,5327000
93856,HCM,20230614,18.3053,18.5138,18.0622,18.1317,5746400
94293,HCM,20230613,18.4416,18.4764,18.1638,18.1664,5283700
94734,HCM,20230612,18.5485,18.5485,18.0622,18.3401,4709300
95173,HCM,20230609,18.268,18.4764,17.9901,18.479,5209400
95612,HCM,20230608,18.8958,18.8958,18.0622,18.1317,11880700
96057,HCM,20230607,18.9624,18.9624,18.6213,18.7926,6348800
96491,HCM,20230606,18.3144,18.8942,18.2462,18.8949,8086100
96929,HCM,20230605,18.9283,18.9283,18.3144,18.3151,8471900
97378,HCM,20230602,18.9624,19.0306,18.6895,18.6903,6621400
97824,HCM,20230601,18.4167,18.6895,18.2803,18.6903,5117200
98269,HCM,20230531,18.6554,18.7919,18.3485,18.4856,6243400
98717,HCM,20230530,18.5531,18.7236,18.3485,18.5879,6029000
99157,HCM,20230529,18.2462,18.5531,18.0757,18.5538,6369000
99602,HCM,20230526,17.7687,18.178,17.7346,18.0081,3762500
100044,HCM,20230525,17.8369,18.0415,17.6664,17.7353,5438600
100483,HCM,20230524,18.3485,18.4167,17.9392,17.9399,6168000
100919,HCM,20230523,17.9392,18.5872,17.9392,18.1787,13480500
101361,HCM,20230522,17.7005,18.0074,17.7005,17.8717,4791600
101796,HCM,20230519,17.53,17.8028,17.3936,17.5647,5673800
102228,HCM,20230518,17.2571,17.8028,17.1548,17.4965,5762100
102662,HCM,20230517,17.3936,17.4959,17.1548,17.1896,4132900
103099,HCM,20230516,17.4959,17.6323,17.3594,17.4965,3342600
103540,HCM,20230515,17.9051,17.9733,17.4618,17.4965,4038600
103982,HCM,20230512,17.4277,17.8369,17.3253,17.7694,5273600
104418,HCM,20230511,17.4618,17.5982,17.3253,17.4283,3583500
104856,HCM,20230510,17.4618,17.5641,17.3594,17.4283,3964700
105293,HCM,20230509,17.53,17.53,17.1889,17.3942,2357900
105734,HCM,20230508,17.1548,17.4618,17.1207,17.3942,4563600
106177,HCM,20230505,17.2571,17.3253,17.0184,17.019,2416500
106625,HCM,20230504,16.9161,17.3594,16.882,17.326,4301300
